ID,标签,物种,性别,年龄,数量
1,三宝鸟成体,三宝鸟,无法区分,成体,210
2,三趾啄木鸟雌性成体,三趾啄木鸟,雌性,成体,3
3,三趾鸦雀成体,三趾鸦雀,无法区分,成体,3
4,三道眉草鹀雌性成体,三道眉草鹀,雌性,成体,3
5,不丹羚牛亚成体,不丹羚牛,无法区分,亚成体,0
6,不丹羚牛幼体,不丹羚牛,无法区分,幼体,0
7,不丹羚牛成体,不丹羚牛,无法区分,成体,3
8,不丹羚牛,不丹羚牛,无法区分,无法区分,0
9,不丹羚牛雄性亚成体,不丹羚牛,雄性,亚成体,0
10,不丹羚牛雄性成体,不丹羚牛,雄性,成体,0
11,不丹羚牛雌性亚成体,不丹羚牛,雌性,亚成体,0
12,不丹羚牛雌性成体,不丹羚牛,雌性,成体,0
13,丘鹬亚成体,丘鹬,无法区分,亚成体,0
14,丘鹬幼体,丘鹬,无法区分,幼体,0
15,丘鹬成体,丘鹬,无法区分,成体,387
16,丘鹬,丘鹬,无法区分,无法区分,18
17,丘鹬雄性亚成体,丘鹬,雄性,亚成体,0
18,丘鹬雄性成体,丘鹬,雄性,成体,0
19,丘鹬雌性亚成体,丘鹬,雌性,亚成体,0
20,丘鹬雌性成体,丘鹬,雌性,成体,0
21,丛林小鼠亚成体,丛林小鼠,无法区分,亚成体,0
22,丛林小鼠幼体,丛林小鼠,无法区分,幼体,0
23,丛林小鼠成体,丛林小鼠,无法区分,成体,135
24,丛林小鼠,丛林小鼠,无法区分,无法区分,0
25,丛林猫成体,丛林猫,无法区分,成体,12
26,丛林鼠成体,丛林鼠,无法区分,成体,9
27,东北兔成体,东北兔,无法区分,成体,669
28,东北兔,东北兔,无法区分,无法区分,3
29,东北刺猬成体,东北刺猬,无法区分,成体,579
30,东北刺猬,东北刺猬,无法区分,无法区分,252
31,东北梅花鹿成体,东北梅花鹿,无法区分,成体,3
32,东北梅花鹿雄性成体,东北梅花鹿,雄性,成体,3
33,东北梅花鹿雌性成体,东北梅花鹿,雌性,成体,6
34,东北虎成体,东北虎,无法区分,成体,3
35,东北鼢鼠成体,东北鼢鼠,无法区分,成体,153
36,东方田鼠成体,东方田鼠,无法区分,成体,12
37,东方蝙蝠,东方蝙蝠,无法区分,无法区分,3
38,中华仙鹟成体,中华仙鹟,无法区分,成体,111
39,中华仙鹟雄性成体,中华仙鹟,雄性,成体,6
40,中华斑羚亚成体,中华斑羚,无法区分,亚成体,6819
41,中华斑羚幼体,中华斑羚,无法区分,幼体,714
42,中华斑羚成体,中华斑羚,无法区分,成体,98343
43,中华斑羚,中华斑羚,无法区分,无法区分,12960
44,中华斑羚雄性亚成体,中华斑羚,雄性,亚成体,681
45,中华斑羚雄性成体,中华斑羚,雄性,成体,9339
46,中华斑羚雄性,中华斑羚,雄性,无法区分,69
47,中华斑羚雌性亚成体,中华斑羚,雌性,亚成体,255
48,中华斑羚雌性成体,中华斑羚,雌性,成体,2922
49,中华斑羚雌性,中华斑羚,雌性,无法区分,51
50,中华泥蛉,中华泥蛉,无法区分,无法区分,3
51,中华白蛉,中华白蛉,无法区分,无法区分,3
52,中华竹鼠亚成体,中华竹鼠,无法区分,亚成体,0
53,中华竹鼠幼体,中华竹鼠,无法区分,幼体,0
54,中华竹鼠成体,中华竹鼠,无法区分,成体,144
55,中华竹鼠,中华竹鼠,无法区分,无法区分,0
56,中华竹鼠雄性亚成体,中华竹鼠,雄性,亚成体,0
57,中华竹鼠雄性成体,中华竹鼠,雄性,成体,0
58,中华竹鼠雌性亚成体,中华竹鼠,雌性,亚成体,0
59,中华竹鼠雌性成体,中华竹鼠,雌性,成体,0
60,中华鬣羚亚成体,中华鬣羚,无法区分,亚成体,261
61,中华鬣羚幼体,中华鬣羚,无法区分,幼体,39
62,中华鬣羚成体,中华鬣羚,无法区分,成体,23805
63,中华鬣羚,中华鬣羚,无法区分,无法区分,3381
64,中华鬣羚雄性亚成体,中华鬣羚,雄性,亚成体,0
65,中华鬣羚雄性成体,中华鬣羚,雄性,成体,1425
66,中华鬣羚雄性,中华鬣羚,雄性,无法区分,12
67,中华鬣羚雌性亚成体,中华鬣羚,雌性,亚成体,0
68,中华鬣羚雌性成体,中华鬣羚,雌性,成体,81
69,中华鹧鸪亚成体,中华鹧鸪,无法区分,亚成体,0
70,中华鹧鸪幼体,中华鹧鸪,无法区分,幼体,0
71,中华鹧鸪成体,中华鹧鸪,无法区分,成体,15
72,中华鹧鸪,中华鹧鸪,无法区分,无法区分,0
73,中华鹧鸪雄性亚成体,中华鹧鸪,雄性,亚成体,0
74,中华鹧鸪雄性成体,中华鹧鸪,雄性,成体,0
75,中华鹧鸪雌性亚成体,中华鹧鸪,雌性,亚成体,0
76,中华鹧鸪雌性成体,中华鹧鸪,雌性,成体,6
77,中国豪猪成体,中国豪猪,无法区分,成体,24
78,中国豪猪,中国豪猪,无法区分,无法区分,36
79,丽色奇鹛成体,丽色奇鹛,无法区分,成体,9
80,乌梢蛇成体,乌梢蛇,无法区分,成体,9
81,乌灰鸫亚成体,乌灰鸫,无法区分,亚成体,0
82,乌灰鸫幼体,乌灰鸫,无法区分,幼体,0
83,乌灰鸫成体,乌灰鸫,无法区分,成体,12
84,乌灰鸫,乌灰鸫,无法区分,无法区分,15
85,乌灰鸫雄性亚成体,乌灰鸫,雄性,亚成体,9
86,乌灰鸫雄性成体,乌灰鸫,雄性,成体,18
87,乌灰鸫雄性,乌灰鸫,雄性,无法区分,12
88,乌灰鸫雌性亚成体,乌灰鸫,雌性,亚成体,0
89,乌灰鸫雌性成体,乌灰鸫,雌性,成体,3
90,乌鸫亚成体,乌鸫,无法区分,亚成体,0
91,乌鸫幼体,乌鸫,无法区分,幼体,0
