ID,标签,物种,性别,年龄,数量
1,三宝鸟成体,三宝鸟,无法区分,成体,210
2,三趾啄木鸟雌性成体,三趾啄木鸟,雌性,成体,3
3,三趾鸦雀成体,三趾鸦雀,无法区分,成体,3
4,三道眉草鹀雌性成体,三道眉草鹀,雌性,成体,3
5,不丹羚牛成体,不丹羚牛,无法区分,成体,3
6,丘鹬成体,丘鹬,无法区分,成体,387
7,丘鹬,丘鹬,无法区分,无法区分,18
8,丛林小鼠成体,丛林小鼠,无法区分,成体,135
9,丛林猫成体,丛林猫,无法区分,成体,12
10,丛林鼠成体,丛林鼠,无法区分,成体,9
11,东北兔成体,东北兔,无法区分,成体,669
12,东北兔,东北兔,无法区分,无法区分,3
13,东北刺猬成体,东北刺猬,无法区分,成体,579
14,东北刺猬,东北刺猬,无法区分,无法区分,252
15,东北梅花鹿成体,东北梅花鹿,无法区分,成体,3
16,东北梅花鹿雄性成体,东北梅花鹿,雄性,成体,3
17,东北梅花鹿雌性成体,东北梅花鹿,雌性,成体,6
18,东北虎成体,东北虎,无法区分,成体,3
19,东北鼢鼠成体,东北鼢鼠,无法区分,成体,153
20,东方田鼠成体,东方田鼠,无法区分,成体,12
21,东方蝙蝠,东方蝙蝠,无法区分,无法区分,3
22,中华仙鹟成体,中华仙鹟,无法区分,成体,111
23,中华仙鹟雄性成体,中华仙鹟,雄性,成体,6
24,中华斑羚亚成体,中华斑羚,无法区分,亚成体,6819
25,中华斑羚幼体,中华斑羚,无法区分,幼体,714
26,中华斑羚成体,中华斑羚,无法区分,成体,98343
27,中华斑羚,中华斑羚,无法区分,无法区分,12960
28,中华斑羚雄性亚成体,中华斑羚,雄性,亚成体,681
29,中华斑羚雄性成体,中华斑羚,雄性,成体,9339
30,中华斑羚雄性,中华斑羚,雄性,无法区分,69
31,中华斑羚雌性亚成体,中华斑羚,雌性,亚成体,255
32,中华斑羚雌性成体,中华斑羚,雌性,成体,2922
33,中华斑羚雌性,中华斑羚,雌性,无法区分,51
34,中华泥蛉,中华泥蛉,无法区分,无法区分,3
35,中华白蛉,中华白蛉,无法区分,无法区分,3
36,中华竹鼠成体,中华竹鼠,无法区分,成体,144
37,中华鬣羚亚成体,中华鬣羚,无法区分,亚成体,261
38,中华鬣羚幼体,中华鬣羚,无法区分,幼体,39
39,中华鬣羚成体,中华鬣羚,无法区分,成体,23805
40,中华鬣羚,中华鬣羚,无法区分,无法区分,3381
41,中华鬣羚雄性成体,中华鬣羚,雄性,成体,1425
42,中华鬣羚雄性,中华鬣羚,雄性,无法区分,12
43,中华鬣羚雌性成体,中华鬣羚,雌性,成体,81
44,中华鹧鸪成体,中华鹧鸪,无法区分,成体,15
45,中华鹧鸪雌性成体,中华鹧鸪,雌性,成体,6
46,中国豪猪成体,中国豪猪,无法区分,成体,24
47,中国豪猪,中国豪猪,无法区分,无法区分,36
48,丽色奇鹛成体,丽色奇鹛,无法区分,成体,9
49,乌梢蛇成体,乌梢蛇,无法区分,成体,9
50,乌灰鸫成体,乌灰鸫,无法区分,成体,12
51,乌灰鸫,乌灰鸫,无法区分,无法区分,15
52,乌灰鸫雄性亚成体,乌灰鸫,雄性,亚成体,9
53,乌灰鸫雄性成体,乌灰鸫,雄性,成体,18
54,乌灰鸫雄性,乌灰鸫,雄性,无法区分,12
55,乌灰鸫雌性成体,乌灰鸫,雌性,成体,3
56,乌鸫成体,乌鸫,无法区分,成体,333
57,乌鸫,乌鸫,无法区分,无法区分,72
58,乌鸫雄性成体,乌鸫,雄性,成体,90
59,乌鸫雌性成体,乌鸫,雌性,成体,45
60,云南兔亚成体,云南兔,无法区分,亚成体,9
61,云南兔成体,云南兔,无法区分,成体,1902
62,云南兔,云南兔,无法区分,无法区分,6
63,云猫成体,云猫,无法区分,成体,57
64,云豹成体,云豹,无法区分,成体,105
65,五纹松鼠成体,五纹松鼠,无法区分,成体,9
66,人成体,人,无法区分,成体,15
67,人雄性成体,人,雄性,成体,21
68,仙八色鸫成体,仙八色鸫,无法区分,成体,87
69,仙锦大蚊,仙锦大蚊,无法区分,无法区分,3
70,侧纹岩松鼠亚成体,侧纹岩松鼠,无法区分,亚成体,9
71,侧纹岩松鼠成体,侧纹岩松鼠,无法区分,成体,2955
72,侧纹岩松鼠,侧纹岩松鼠,无法区分,无法区分,21
73,侧纹岩松鼠雄性成体,侧纹岩松鼠,雄性,成体,3
74,侧纹岩松鼠雌性,侧纹岩松鼠,雌性,无法区分,6
75,倭花鼠亚成体,倭花鼠,无法区分,亚成体,9
76,倭花鼠成体,倭花鼠,无法区分,成体,1107
77,倭花鼠,倭花鼠,无法区分,无法区分,24
78,倭花鼠雄性成体,倭花鼠,雄性,成体,9
79,兔狲成体,兔狲,无法区分,成体,144
80,兔狲雄性成体,兔狲,雄性,成体,6
81,凤头雀嘴鹎成体,凤头雀嘴鹎,无法区分,成体,306
82,凤头鹀成体,凤头鹀,无法区分,成体,33
83,凤头鹀雄性成体,凤头鹀,雄性,成体,12
84,凤头鹰亚成体,凤头鹰,无法区分,亚成体,9
85,凤头鹰成体,凤头鹰,无法区分,成体,195
86,凤头鹰,凤头鹰,无法区分,无法区分,114
87,凤头鹰雌性成体,凤头鹰,雌性,成体,18
88,刺猬成体,刺猬,无法区分,成体,759
89,刺猬,刺猬,无法区分,无法区分,30
90,勐海胡颓子成体,勐海胡颓子,无法区分,成体,9
91,勺鸡亚成体,勺鸡,无法区分,亚成体,12
92,勺鸡幼体,勺鸡,无法区分,幼体,24
93,勺鸡成体,勺鸡,无法区分,成体,345
94,勺鸡,勺鸡,无法区分,无法区分,162
95,勺鸡雄性亚成体,勺鸡,雄性,亚成体,6
96,勺鸡雄性成体,勺鸡,雄性,成体,2202
