ID,标签,物种,性别,年龄,,,,,,,,,,,,,,,,,,,,,
D001,绵羊雄性成体,绵羊,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D002,绵羊雌性成体,绵羊,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D003,绵羊成体,绵羊,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D004,绵羊雄性亚成体,绵羊,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D005,绵羊雌性亚成体,绵羊,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D006,绵羊亚成体,绵羊,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D007,绵羊幼体,绵羊,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D008,家骆驼雄性成体,家骆驼,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D009,家骆驼雌性成体,家骆驼,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D010,家骆驼成体,家骆驼,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D011,家骆驼雄性亚成体,家骆驼,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D012,家骆驼雌性亚成体,家骆驼,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D013,家骆驼亚成体,家骆驼,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D014,家骆驼幼体,家骆驼,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D015,家骆驼,家骆驼,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
D016,家牛雄性成体,家牛,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D017,家牛雌性成体,家牛,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D018,家牛成体,家牛,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D019,家牛雄性亚成体,家牛,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D020,家牛雌性亚成体,家牛,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D021,家牛亚成体,家牛,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D022,家牛幼体,家牛,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D023,家牛,家牛,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
D024,山羊雄性成体,山羊,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D025,山羊雌性成体,山羊,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D026,山羊成体,山羊,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D027,山羊雄性亚成体,山羊,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D028,山羊雌性亚成体,山羊,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D029,山羊亚成体,山羊,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D030,山羊幼体,山羊,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D031,山羊,山羊,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
D032,家猫雄性成体,家猫,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D033,家猫雌性成体,家猫,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D034,家猫成体,家猫,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D035,家猫雄性亚成体,家猫,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D036,家猫雌性亚成体,家猫,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
