ID,标签,物种,性别,年龄,,,,,,,,,,,,,,
1,狍雄性成体,狍,雄性,成体,,,,,,,,,,,,,,,
2,狍雌性成体,狍,雌性,成体,,,,,,,,,,,,,,,
3,狍成体,狍,无法区分,成体,,,,,,,,,,,,,,,
4,狍雄性亚成体,狍,雄性,亚成体,,,,,,,,,,,,,,,
5,狍雌性亚成体,狍,雌性,亚成体,,,,,,,,,,,,,,,
6,狍亚成体,狍,无法区分,亚成体,,,,,,,,,,,,,,,
7,狍幼体,狍,无法区分,幼体,,,,,,,,,,,,,,,
8,狍,狍,无法区分,无法区分,,,,,,,,,,,,,,,
9,红腹锦鸡雄性成体,红腹锦鸡,雄性,成体,,,,,,,,,,,,,,,
10,红腹锦鸡雌性成体,红腹锦鸡,雌性,成体,,,,,,,,,,,,,,,
11,红腹锦鸡成体,红腹锦鸡,无法区分,成体,,,,,,,,,,,,,,,
12,红腹锦鸡雄性亚成体,红腹锦鸡,雄性,亚成体,,,,,,,,,,,,,,,
13,红腹锦鸡雌性亚成体,红腹锦鸡,雌性,亚成体,,,,,,,,,,,,,,,
14,红腹锦鸡亚成体,红腹锦鸡,无法区分,亚成体,,,,,,,,,,,,,,,
15,红腹锦鸡幼体,红腹锦鸡,无法区分,幼体,,,,,,,,,,,,,,,
16,红腹锦鸡,红腹锦鸡,无法区分,无法区分,,,,,,,,,,,,,,,
17,梅花鹿雄性成体,梅花鹿,雄性,成体,,,,,,,,,,,,,,,
18,梅花鹿雌性成体,梅花鹿,雌性,成体,,,,,,,,,,,,,,,
19,梅花鹿成体,梅花鹿,无法区分,成体,,,,,,,,,,,,,,,
20,梅花鹿雄性亚成体,梅花鹿,雄性,亚成体,,,,,,,,,,,,,,,
21,梅花鹿雌性亚成体,梅花鹿,雌性,亚成体,,,,,,,,,,,,,,,
22,梅花鹿亚成体,梅花鹿,无法区分,亚成体,,,,,,,,,,,,,,,
23,梅花鹿幼体,梅花鹿,无法区分,幼体,,,,,,,,,,,,,,,
24,梅花鹿,梅花鹿,无法区分,无法区分,,,,,,,,,,,,,,,
25,水鹿雄性成体,水鹿,雄性,成体,,,,,,,,,,,,,,,
26,水鹿雌性成体,水鹿,雌性,成体,,,,,,,,,,,,,,,
27,水鹿成体,水鹿,无法区分,成体,,,,,,,,,,,,,,,
28,水鹿雄性亚成体,水鹿,雄性,亚成体,,,,,,,,,,,,,,,
29,水鹿雌性亚成体,水鹿,雌性,亚成体,,,,,,,,,,,,,,,
30,水鹿亚成体,水鹿,无法区分,亚成体,,,,,,,,,,,,,,,
31,水鹿幼体,水鹿,无法区分,幼体,,,,,,,,,,,,,,,
32,水鹿,水鹿,无法区分,无法区分,,,,,,,,,,,,,,,
33,毛冠鹿雄性成体,毛冠鹿,雄性,成体,,,,,,,,,,,,,,,
34,毛冠鹿雌性成体,毛冠鹿,雌性,成体,,,,,,,,,,,,,,,
35,毛冠鹿成体,毛冠鹿,无法区分,成体,,,,,,,,,,,,,,,
36,毛冠鹿雄性亚成体,毛冠鹿,雄性,亚成体,,,,,,,,,,,,,,,
37,毛冠鹿雌性亚成体,毛冠鹿,雌性,亚成体,,,,,,,,,,,,,,,
38,毛冠鹿亚成体,毛冠鹿,无法区分,亚成体,,,,,,,,,,,,,,,
39,毛冠鹿幼体,毛冠鹿,无法区分,幼体,,,,,,,,,,,,,,,
40,毛冠鹿,毛冠鹿,无法区分,无法区分,,,,,,,,,,,,,,,
41,中华斑羚雄性成体,中华斑羚,雄性,成体,,,,,,,,,,,,,,,
42,中华斑羚雌性成体,中华斑羚,雌性,成体,,,,,,,,,,,,,,,
43,中华斑羚成体,中华斑羚,无法区分,成体,,,,,,,,,,,,,,,
44,中华斑羚雄性亚成体,中华斑羚,雄性,亚成体,,,,,,,,,,,,,,,
45,中华斑羚雌性亚成体,中华斑羚,雌性,亚成体,,,,,,,,,,,,,,,
46,中华斑羚亚成体,中华斑羚,无法区分,亚成体,,,,,,,,,,,,,,,
47,中华斑羚幼体,中华斑羚,无法区分,幼体,,,,,,,,,,,,,,,
48,中华斑羚,中华斑羚,无法区分,无法区分,,,,,,,,,,,,,,,
49,中华鬣羚雄性成体,中华鬣羚,雄性,成体,,,,,,,,,,,,,,,
50,中华鬣羚雌性成体,中华鬣羚,雌性,成体,,,,,,,,,,,,,,,
51,中华鬣羚成体,中华鬣羚,无法区分,成体,,,,,,,,,,,,,,,
52,中华鬣羚雄性亚成体,中华鬣羚,雄性,亚成体,,,,,,,,,,,,,,,
53,中华鬣羚雌性亚成体,中华鬣羚,雌性,亚成体,,,,,,,,,,,,,,,
54,中华鬣羚亚成体,中华鬣羚,无法区分,亚成体,,,,,,,,,,,,,,,
55,中华鬣羚幼体,中华鬣羚,无法区分,幼体,,,,,,,,,,,,,,,
56,中华鬣羚,中华鬣羚,无法区分,无法区分,,,,,,,,,,,,,,,
57,秦岭羚牛雄性成体,秦岭羚牛,雄性,成体,,,,,,,,,,,,,,,
58,秦岭羚牛雌性成体,秦岭羚牛,雌性,成体,,,,,,,,,,,,,,,
59,秦岭羚牛成体,秦岭羚牛,无法区分,成体,,,,,,,,,,,,,,,
60,秦岭羚牛雄性亚成体,秦岭羚牛,雄性,亚成体,,,,,,,,,,,,,,,
61,秦岭羚牛雌性亚成体,秦岭羚牛,雌性,亚成体,,,,,,,,,,,,,,,
62,秦岭羚牛亚成体,秦岭羚牛,无法区分,亚成体,,,,,,,,,,,,,,,
63,秦岭羚牛幼体,秦岭羚牛,无法区分,幼体,,,,,,,,,,,,,,,
64,秦岭羚牛,秦岭羚牛,无法区分,无法区分,,,,,,,,,,,,,,,
65,四川羚牛雄性成体,四川羚牛,雄性,成体,,,,,,,,,,,,,,,
66,四川羚牛雌性成体,四川羚牛,雌性,成体,,,,,,,,,,,,,,,
67,四川羚牛成体,四川羚牛,无法区分,成体,,,,,,,,,,,,,,,
68,四川羚牛雄性亚成体,四川羚牛,雄性,亚成体,,,,,,,,,,,,,,,
69,四川羚牛雌性亚成体,四川羚牛,雌性,亚成体,,,,,,,,,,,,,,,
70,四川羚牛亚成体,四川羚牛,无法区分,亚成体,,,,,,,,,,,,,,,
71,四川羚牛幼体,四川羚牛,无法区分,幼体,,,,,,,,,,,,,,,
72,四川羚牛,四川羚牛,无法区分,无法区分,,,,,,,,,,,,,,,
73,野骆驼雄性成体,野骆驼,雄性,成体,,,,,,,,,,,,,,,
74,野骆驼雌性成体,野骆驼,雌性,成体,,,,,,,,,,,,,,,
75,野骆驼雄性亚成体,野骆驼,雄性,亚成体,,,,,,,,,,,,,,,
76,野骆驼雌性亚成体,野骆驼,雌性,亚成体,,,,,,,,,,,,,,,
77,野骆驼亚成体,野骆驼,无法区分,亚成体,,,,,,,,,,,,,,,
78,野骆驼幼体,野骆驼,无法区分,幼体,,,,,,,,,,,,,,,
79,野骆驼,野骆驼,无法区分,无法区分,,,,,,,,,,,,,,,
80,鹅喉羚雄性成体,鹅喉羚,雄性,成体,,,,,,,,,,,,,,,
81,鹅喉羚雌性成体,鹅喉羚,雌性,成体,,,,,,,,,,,,,,,
82,鹅喉羚成体,鹅喉羚,无法区分,成体,,,,,,,,,,,,,,,
83,鹅喉羚雄性亚成体,鹅喉羚,雄性,亚成体,,,,,,,,,,,,,,,
84,鹅喉羚雌性亚成体,鹅喉羚,雌性,亚成体,,,,,,,,,,,,,,,
85,鹅喉羚亚成体,鹅喉羚,无法区分,亚成体,,,,,,,,,,,,,,,
86,鹅喉羚,鹅喉羚,无法区分,无法区分,,,,,,,,,,,,,,,
87,野马雄性成体,野马,雄性,成体,,,,,,,,,,,,,,,
88,野马雌性成体,野马,雌性,成体,,,,,,,,,,,,,,,
